COMPLIT 264-Thinking and Writing Transculturally 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b91699c87271c917ebc96a6e7548b832fa5c8668f9245104df8e678787b64d1867a738770c7efcce353f699a5eb4ce2d&ReportType=2&regl=en-US;21;4.82;8.70;Karen Thornber;COMPLIT 264;2021
BBS 230-Qualitative and Quantitative Analysis of the Biological Literature 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=78958b4ccfc58a874b4964b41e3d3467518cf8d3ebebb76fd81061f4b2252c77c529dac6034dff7c886ffd92fdfa03e5&ReportType=2&regl=en-US;71;3.88;8.06;Richard Sherwood;BBS 230;2019
SOC-STD 10A-Introduction to Social Studies 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f3b60b017e23bf4a89d685ea6da16e1c8e2b96e1b4f2ac0bc4eb943839bccb2eb8e99f5b3e3e93a0f77ddd41aeeeebfa&ReportType=2&regl=en-US;68;4.26;8.41;Jonathan Hansen;SOC-STD 10A;2020
PHIL 300AA-Colloquium 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=70eb459866907cfcfa22dfbc5d1ed984cf2a39239d0e38d456d0a690b297ed725fb7c36aa92f895fb0528c4cdddb27a9&ReportType=2&regl=en-US;8;4.33;7.00;Ned Hall;PHIL 300AA;2019
LATIN 2-Introductory Latin 2 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f6e63a04177513d47ce8b56188586cf244980056fc380c6a402a73a7e8f6d72f9d983b38c2eff8174a8dd0144c6f50d8&ReportType=2&regl=en-US;13;4.00;4.10;Ivy Livingston;LATIN 2;2021
GOV 2305-American Government and Politics: Field Seminar 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7f68951ad769c94b865c1ab35f1daf809e9e56e1df827e1bdb6ce211596b6ad47fa3b9008134836bf25c98424266464d&ReportType=2&regl=en-US;13;4.57;10.71;Jennifer Hochschild;GOV 2305;2020
PHYSCI 3-Electromagnetism, Circuits, Waves, Optics, and Imaging 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3bcf1be837ebe83cee21d7180775bc050ddf831b820ba66c8a99f97266dfb069e9e065c9b6ab97ecd04bde4cf6a9b0aa&ReportType=2&regl=en-US;174;4.32;7.16;Roxanne Guenette;PHYSCI 3;2021
BE 110-Physiological Systems Analysis 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b072d67a9db3f2151e66a77bee98222dea4920681e7a8be82e4f6af4a30a0963ad3ab766c69db4b6961ed99fffb7a950&ReportType=2&regl=en-US;28;2.71;12.20;Maurice Smith;BE 110;2020
FRSEMR 33X-Complexity in Works of Art: Ulysses and Hamlet 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f3c3503ee5adaef8fe96c2c3fd0eb9a4ef1f978c2296dbb97cea827e893351e8d5ab36380cf5cf5a36e260d26db2c24b&ReportType=2&regl=en-US;11;4.64;6.36;Philip Fisher;FRSEMR 33X;2020
LIFESCI 1A-An Integrated Introduction to the Life Sciences: Chemistry, Molecular Biology, and Cell Biology 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2dd9f2d42218f75950297d0f3ff09826bd96c47aac4e904c8785b7fdef30144144d617dabb5b30a2db08d754760f2345&ReportType=2&regl=en-US;323;3.68;7.00;Daniel Kahne;LIFESCI 1A;2019
ECON 2010B-Economic Theory 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bd2b9d9dc48851038019400afbfbb32af0b41bc719dedb6dff7b120c31596fa6633ca3a53cc48c8e8114ec9b6dd28d96&ReportType=2&regl=en-US;25;4.07;10.00;Oliver Hart;ECON 2010B;2021
COMPSCI 283-Computer Vision 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0046fd1f078e533527f31a686e93bd96782c61a727ce32503fd718beb6e3fb250cacf8d5c3ca7f8bfbeae825d9dae53e&ReportType=2&regl=en-US;21;4.80;13.73;Todd Zickler;COMPSCI 283;2019
AFVS 60X-Approaching Narrative: Introduction to Filmmaking 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e7f83272373a5b1633994af6cb192323f640fd6a38b4ed27a64b611e48513643b56ec65b999080ba647a514ec2aac7d6&ReportType=2&regl=en-US;10;3.75;9.63;Anocha Suwichakornpong;AFVS 60X;2019
MUSIC 178R-Applied Music Activism 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1d505aac2e5706502d7e874fd767b2a686156cccb84ee6781609a5a1f1b1e179f10907abf2ff34613a4d6b33a17f94e1&ReportType=2&regl=en-US;16;4.55;3.00;Esperanza Spalding;MUSIC 178R;2019
AFVS 22-One Thing Leads to Another: Introduction to Oil Painting 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ecfff1a95759d354b2c66ee2ec593ab114aef5381ff7e441f400be1ee405af9aec14ff7da543fff01fb984735559e19c&ReportType=2&regl=en-US;12;4.75;7.75;Judith Belzer;AFVS 22;2019
EXPOS 20-Expository Writing 20 004;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=923b24a9216af3c0fac99f31bf7d3fc175bd0517a80341679961a24f25d3bf807a8f51582b14f8f61da901d7ec609088&ReportType=2&regl=en-US;10;4.11;6.56;Willa Brown;EXPOS 20;2020
PSY 2640R-The Understand Seminar 001;https://harvard.bluera.com/harvard/rpvf-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=701ea68e887219de5f156eb00a3f01fb3c8c80b5b7e4a8b210ca5ff27a7e5d154d9dc6df7f03f37fd5e25b8dc74e1330&ReportType=2&regl=en-US;7;5.00;12.75;Topher Dial;PSY 2640R;2021
TDM 99A-Senior Tutorial: Senior Thesis Project 001;https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=782e73a08b109f9c2cae9a2023c2db2218851b07582d8a3f055185c3e3a5a5be3ffef563b2722155d8f93755ea35f22d&ReportType=2&regl=en-US;8;5.00;8.67;Debra Levine;TDM 99A;2019
